id,ds,delta
0,2021-09-13,2.8047e-10
1,2024-02-26,2.58972e-10
2,2024-05-22,1.55228e-09
3,2024-03-21,4.01604e-11
4,2022-07-16,-0.0279826
5,2021-09-15,0.00379565
6,2022-04-23,1.16344e-10
7,2023-03-16,0.00456499
8,2022-12-31,-4.49483e-10
9,2024-03-22,1.6437e-09
10,2023-09-30,-2.09579e-09
11,2022-02-14,1.24969e-09
12,2021-02-14,-1.08488e-13
13,2024-08-05,4.11537e-10
14,2023-05-26,-0.00495682
15,2021-03-19,-0.0166213
16,2023-04-02,7.42434e-10
17,2023-09-10,0.00568397
18,2022-05-09,6.32928e-08
19,2024-09-22,6.21937e-06
20,2022-11-28,1.44417e-11
21,2020-10-08,8.92653e-11
22,2022-05-28,-2.19632e-11
23,2023-12-03,8.90236e-10
24,2024-02-19,-4.86992e-09
25,2023-09-23,-6.46145e-06
26,2023-09-27,1.30063e-06
27,2022-05-23,3.30865e-12
28,2022-04-05,-0.0355844
29,2020-09-28,-1.79178e-10
30,2023-01-06,-5.09551e-10
31,2022-11-12,-9.13907e-10
32,2023-07-04,2.29477e-09
33,2021-09-04,0.0057639
34,2023-01-17,2.35469e-10
35,2024-04-14,6.50646e-09
36,2024-05-27,2.77149e-10
37,2021-05-04,-0.0317509
38,2024-05-30,2.18803e-13
39,2022-06-15,4.69351e-10
40,2023-07-08,0.00331207
41,2021-02-09,-2.19698e-10
42,2024-10-07,0.0248211
43,2022-03-03,1.89038e-09
44,2020-10-05,0.0178568
45,2024-07-16,6.6143e-08
46,2024-05-29,6.04599e-10
47,2021-08-13,-9.07935e-10
48,2021-07-12,4.75299e-07
49,2023-04-24,1.53214e-11
50,2024-06-30,1.28438e-09
51,2023-03-10,2.50241e-10
52,2021-07-09,-0.0201879
53,2023-11-27,4.5345e-08
54,2023-04-08,1.46072e-09
55,2023-01-08,-2.6314e-08
56,2023-12-25,0.0264623
57,2024-01-03,2.76584e-10
58,2024-07-25,-6.02795e-11
59,2021-02-25,2.61127e-10
60,2023-10-10,2.65108e-10
61,2021-07-23,3.14282e-10
62,2021-12-31,-1.6295e-09
